Bladder_5y;Denmark;Finland;Norway;Sweden;Denmark;Finland;Norway;Sweden
1971-1975;54.9[52.8-57.1];50.2[46.7-54.0];58.9[56.1-61.8];62.3[60.3-64.3];49.7[46.5-53.1]*;48.6[43.6-54.0];51.2[47.2-55.5];62.1[59.5-64.9]
1976-1980;59.7[57.8-61.6];55.8[52.8-58.9];64.5[62.1-67.0];68.9[67.1-70.7];53.7[50.9-56.7];58.4[54.4-62.7];57.4[53.9-61.1];63.7[61.1-66.5]
1981-1985;62.9[61.1-64.7];66.5[63.7-69.4];67.0[64.7-69.4];69.5[67.8-71.1];54.2[51.6-56.9]*;64.2[60.1-68.6];60.9[57.7-64.4];65.6[63.3-68.1]
1986-1990;64.9[63.2-66.7];70.0[67.4-72.7];70.5[68.3-72.7];73.0[71.5-74.5];60.0[57.5-62.5]*;64.0[60.2-68.0];64.5[61.3-67.9];67.6[65.4-69.9]
1991-1995;68.7[67.0-70.4];74.5[72.1-76.9];73.5[71.5-75.5];73.8[72.4-75.2];63.2[60.8-65.7];66.4[63.0-69.9];64.7[61.6-67.9];68.9[66.7-71.0]
1996-2000;71.0[69.4-72.6];74.8[72.6-77.1];72.9[70.9-74.8];74.3[72.9-75.7];61.6[59.2-64.0]*;72.9[69.6-76.4];68.8[65.8-71.9];70.2[68.1-72.2]
2001-2005;73.4[71.8-74.9];75.7[73.6-77.9];75.4[73.6-77.2];76.0[74.7-77.3];64.5[62.2-66.8];71.4[68.2-74.8];67.1[64.3-70.0];69.8[67.8-71.9]
2006-2010;75.5[74.0-76.9];77.5[75.7-79.4];76.3[74.6-78.1];75.4[74.2-76.7];66.5[64.3-68.8]*;75.4[72.3-78.6];70.5[67.8-73.4];72.1[70.1-74.1]
2011-2015;78.6[77.3-79.9];78.6[76.9-80.3];79.5[78.0-81.1];79.3[78.2-80.5];72.1[70.1-74.2];72.5[69.4-75.8];71.8[69.1-74.6];72.6[70.7-74.5]
2016-2020;81.0[79.7-82.2];78.9[77.3-80.5];81.1[79.7-82.6];81.6[80.6-82.6];74.0[72.0-76.1];74.8[72.1-77.7];75.6[73.2-78.1];76.1[74.4-77.9]
